U_Ga-4p,U_Sb-5p,Eg(eV)
-5.0,6.56,0.8133723138891713
-5.0,6.55,0.8102822443131079
-4.99,6.55,0.811710828815494
-4.98,6.55,0.8131394133178802
-4.98,6.54,0.8100493437418168
-4.97,6.54,0.8114779282442028
-4.96,6.54,0.8129065127464945
-4.96,6.53,0.8098164431656931
-4.95,6.53,0.8112450276773888
-4.94,6.53,0.812673612184589
-4.93,6.53,0.8141021967148336
-4.93,6.52,0.8110121271113964
-4.92,6.52,0.8124407116022998
-4.91,6.52,0.8138692961381842
-4.91,6.51,0.8107792265365052
-4.9,6.51,0.8122078110464335
-4.89,6.51,0.8136363955563619
-4.89,6.5,0.8105463259544263
-4.88,6.5,0.8119749104526381
-4.87,6.5,0.81340349495085
-4.87,6.49,0.8103226618955517
-4.86,6.49,0.811758950427834
-4.85,6.49,0.8131952389601163
-4.85,6.48,0.8101009379114503
-4.84,6.48,0.8115372264465357
-4.83,6.48,0.8129735149816206
-4.83,6.47,0.8098976528969051
-4.82,6.47,0.8113402024308909
-4.81,6.47,0.8127827519606705
-4.8,6.47,0.8142161813972508
-4.8,6.46,0.8111198189564235
-4.79,6.46,0.8125662969567873
-4.78,6.46,0.8140127749777302
-4.78,6.45,0.8109164125289081
-4.77,6.45,0.812362890539801
-4.76,6.45,0.8138174196876851
-4.76,6.44,0.8107247165731861
-4.75,6.44,0.812174864899295
-4.74,6.44,0.8136250132174903
-4.74,6.43,0.810532310117172
-4.73,6.43,0.8119824584346271
-4.72,6.43,0.8134442311299974
-4.72,6.42,0.810356118359298
-4.71,6.42,0.8118088498074987
-4.7,6.42,0.8132549756403846
-4.7,6.41,0.8101661088297365
-4.69,6.41,0.8116232490458739
-4.68,6.41,0.813080389262788
-4.68,6.4,0.8099915224582592
-4.67,6.4,0.8114486626730733
-4.66,6.4,0.8129055529944806
-4.66,6.39,0.8098125061846213
-4.65,6.39,0.8112770842821704
-4.64,6.39,0.8127416623648256
-4.63,6.39,0.8142062404785433
-4.63,6.38,0.8111131936455618
-4.62,6.38,0.8125807987858795
-4.61,6.38,0.814050701419986
-4.61,6.37,0.8109548467292538
-4.6,6.37,0.8124247493279291
-4.59,6.37,0.8138977789572646
-4.59,6.36,0.8108139265396173
-4.58,6.36,0.8122818311326816
-4.57,6.36,0.8137497357229442
-4.57,6.35,0.8106651561853804
-4.56,6.35,0.8121378634292116
-4.55,6.35,0.8136105706901251
-4.55,6.34,0.8105247497588346
-4.54,6.34,0.8119974570190731
-4.53,6.34,0.813470164273713
-4.53,6.33,0.8103843433908726
-4.52,6.33,0.811861792775167
-4.51,6.33,0.8133424988507258
-4.51,6.32,0.8102524045237587
-4.5,6.32,0.8117331106026531
-4.49,6.32,0.8132158973095427
-4.49,6.31,0.8101344456119939
-4.48,6.31,0.8116137136021639
-4.47,6.31,0.8130929815807675
-4.47,6.3,0.8100077527031848
-4.46,6.3,0.8114943564646002
-4.45,6.3,0.8129809602061546
-4.45,6.29,0.8098960432056259
-4.44,6.29,0.8113826469596563
-4.43,6.29,0.8128692507050961
-4.43,6.28,0.8097843337148616
-4.42,6.28,0.8112737001430006
-4.41,6.28,0.8127670004454068
-4.4,6.28,0.8142603007639402
-4.4,6.27,0.8111721371502907
-4.39,6.27,0.8126695291088522
-4.38,6.27,0.8141611597650893
-4.38,6.26,0.8110829928130923
-4.37,6.26,0.8125746234741162
-4.36,6.26,0.8140707072622488
-4.36,6.25,0.810988447971366
-4.35,6.25,0.8124875533293625
-4.34,6.25,0.8139866586917497
-4.34,6.24,0.8109043994127711
-4.33,6.24,0.8124035047775022
-4.32,6.24,0.8139026101362357
-4.32,6.23,0.8108200946024904
-4.31,6.23,0.8123231095476013
-4.3,6.23,0.813826124492397
-4.3,6.22,0.810742483874906
-4.29,6.22,0.8122498399364564
-4.28,6.22,0.8137508483257241
-4.28,6.21,0.8106792343164146
-4.27,6.21,0.8121802427047742
-4.26,6.21,0.8136845904803616
-4.26,6.2,0.8106113002909314
-4.25,6.2,0.8121158404193565
-4.24,6.2,0.8136203805361595
-4.24,6.19,0.8105470903484762
-4.23,6.19,0.8120516304777063
-4.22,6.19,0.8135561705947725
-4.22,6.18,0.8104853132858791
-4.21,6.18,0.8119948223752327
-4.2,6.18,0.8135043314590698
-4.2,6.17,0.8104285248990581
-4.19,6.17,0.81194252609829
-4.18,6.17,0.8134499509629993
-4.18,6.16,0.8103866368180503
-4.17,6.16,0.8118940616838897
-4.16,6.16,0.8134067716194147
-4.16,6.15,0.8103420173766203
-4.15,6.15,0.8118532255100317
-4.14,6.15,0.8133644336434431
-4.14,6.14,0.8102996794036585
-4.13,6.14,0.8118108875360113
-4.12,6.14,0.8133220956730145
-4.12,6.13,0.8102650276230416
-4.11,6.13,0.8117851755384771
-4.1,6.13,0.8133053234480052
-4.1,6.12,0.8102351281863467
-4.09,6.12,0.8117546512823091
-4.08,6.12,0.8132735028727207
-4.08,6.11,0.8102111555526923
-4.07,6.11,0.8117300071429976
-4.06,6.11,0.8132552388276368
-4.06,6.1,0.8101887078457644
-4.05,6.1,0.8117157723357964
-4.04,6.1,0.8132428368263374
-4.04,6.09,0.8101763058447804
-4.03,6.09,0.811703370331536
-4.02,6.09,0.8132304348181574
-4.02,6.08,0.8101687454820556
-4.01,6.08,0.811703079586571
-4.0,6.08,0.8132374136622125
-4.0,6.07,0.8101668449236152
-3.99,6.07,0.8117068393606444
-3.98,6.07,0.8132395824502197
-3.98,6.06,0.8101784984511171
-3.97,6.06,0.8117112415467025
-3.96,6.06,0.8132466829362148
-3.96,6.05,0.8101801566351066
-3.95,6.05,0.811721850799054
-3.94,6.05,0.8132635449672379
-3.94,6.04,0.8101970186629555
-3.93,6.04,0.8117387128308409
-3.92,6.04,0.8132804069983932
-3.92,6.03,0.8102226447787066
-3.91,6.03,0.8117734562323196
-3.9,6.03,0.8133242676830708
-3.9,6.02,0.8102519330302302
-3.89,6.02,0.8118023291437924
-3.88,6.02,0.8133517145840887
-3.88,6.01,0.8102880077705683
-3.87,6.01,0.8118373931845959
-3.86,6.01,0.8133950345811511
-3.86,6.0,0.810327384942152
-3.85,6.0,0.8118852082290662
-3.84,6.0,0.8134430315159806
-3.84,5.99,0.8103753818908692
-3.83,5.99,0.8119332051786876
-3.82,5.99,0.8134910284706474
-3.82,5.98,0.8104254414816632
-3.81,5.98,0.8119905384430361
-3.8,5.98,0.8135556354033278
-3.8,5.97,0.8104847104484334
-3.79,5.97,0.812051256314424
-3.78,5.97,0.8136157041308514
-3.78,5.96,0.8105486688459966
-3.77,5.96,0.8121131166535793
-3.76,5.96,0.8136828082201097
-3.76,5.95,0.8106107479024551
-3.75,5.95,0.8121843169270329
-3.74,5.95,0.8137578859637156
-3.74,5.94,0.8106858256244314
-3.73,5.94,0.8122593946518029
-3.72,5.94,0.8138329636961541
-3.72,5.93,0.8107683108271626
-3.71,5.93,0.8123497236518296
-3.7,5.93,0.8139311364965081
-3.7,5.92,0.810854112095408
-3.69,5.92,0.8124413263248533
-3.68,5.92,0.8140207593075848
-3.68,5.91,0.8109555657740588
-3.67,5.91,0.812534998776067
-3.66,5.91,0.8141216571305265
-3.66,5.9,0.8110524170499406
-3.65,5.9,0.8126401263558762
-3.64,5.9,0.8142278356590995
-3.64,5.89,0.8111585955751115
-3.63,5.89,0.8127463048908438
-3.63,5.88,0.8096770647947656
-3.62,5.88,0.8112690578571193
-3.61,5.88,0.8128670989501721
-3.61,5.87,0.8097928296315589
-3.6,5.87,0.8113908706966413
-3.59,5.87,0.8129915015278135
-3.59,5.86,0.8099277164353014
-3.58,5.86,0.8115240128627095
-3.57,5.86,0.8131203092949717
-3.57,5.85,0.8100503970176947
-3.56,5.85,0.8116551290885365
-3.55,5.85,0.8132598611514659
-3.55,5.84,0.8101917923651593
-3.54,5.84,0.8117965244268279
-3.53,5.84,0.8134012564864848
-3.53,5.83,0.8103331876939512
-3.52,5.83,0.8119429251451873
-3.51,5.83,0.8135562791675061
-3.51,5.82,0.8104836168684737
-3.5,5.82,0.8120969708771975
-3.49,5.82,0.8137132184098026
-3.49,5.81,0.8106498191134008
-3.48,5.81,0.8122616293665663
-3.47,5.81,0.8138734396213723
-3.47,5.8,0.8108018616918589
-3.46,5.8,0.8124226185436576
-3.45,5.8,0.8140433754013169
-3.45,5.79,0.8109751452637489
-3.44,5.79,0.8125959021139556
-3.43,5.79,0.8142166589645569
-3.43,5.78,0.8111484288269889
-3.42,5.78,0.8127793730833568
-3.42,5.77,0.8097042385638121
-3.41,5.77,0.8113359721283916
-3.4,5.77,0.8129677057006972
-3.4,5.76,0.8099037394528719
-3.39,5.76,0.8115340691132489
-3.38,5.76,0.8131643987733573
-3.38,5.75,0.8100977191733731
-3.37,5.75,0.8117280488338214
-3.36,5.75,0.8133599029707876
-3.36,5.74,0.8102876250564892
-3.35,5.74,0.8119285208115696
-3.34,5.74,0.8135694165669205
-3.34,5.73,0.8104971386801593
-3.33,5.73,0.8121311521858032
-3.32,5.73,0.8137753754400188
-3.32,5.72,0.8107042026666951
-3.31,5.72,0.8123484259240761
-3.3,5.72,0.8139926491807176
-3.3,5.71,0.8109341520659655
-3.29,5.71,0.8125816821384751
-3.28,5.71,0.8142292122015866
-3.28,5.7,0.8111601866059517
-3.27,5.7,0.8128077166727683
-3.27,5.69,0.8097291283865492
-3.26,5.69,0.811391363408645
-3.25,5.69,0.813053598430741
-3.25,5.68,0.8099735853560899
-3.24,5.68,0.8116358203803828
-3.23,5.68,0.8132995861399686
-3.23,5.67,0.8102240193204903
-3.22,5.67,0.8118881293277623
-3.21,5.67,0.8135522393369028
-3.21,5.66,0.8104766725192805
-3.2,5.66,0.8121471338803001
-3.19,5.66,0.813813149721027
-3.19,5.65,0.8107411471457748
-3.18,5.65,0.8124071629979951
-3.17,5.65,0.8140731788298252
-3.17,5.64,0.8110067905322546
-3.16,5.64,0.8126790297096872
-3.15,5.64,0.8143512688991081
-3.15,5.63,0.8112762321733428
-3.14,5.63,0.8129484713561896
-3.14,5.62,0.8098768000228629
-3.13,5.62,0.8115469465861916
-3.12,5.62,0.813217093152889
-3.12,5.61,0.8101546260395429
-3.11,5.61,0.8118291284204957
-3.1,5.61,0.813504533894938
-3.1,5.6,0.8104394501997498
-3.09,5.6,0.8121148556667497
-3.08,5.6,0.8137902611312247
-3.08,5.59,0.8107251774453033
-3.07,5.59,0.8124005829199412
-3.06,5.59,0.8140881584022854
-3.06,5.58,0.8110199485438778
-3.05,5.58,0.8127018356545009
-3.05,5.57,0.8096336257910577
-3.04,5.57,0.8113183102615416
-3.03,5.57,0.8129987060215766
-3.03,5.56,0.8099394446937531
-3.02,5.56,0.8116198404534527
-3.01,5.56,0.8133079112503059
-3.01,5.55,0.8102461587830642
-3.0,5.55,0.8119326531320359
-2.99,5.55,0.8136191474810077
-2.99,5.54,0.8105573950147585
-2.98,5.54,0.8122438893618582
-2.97,5.54,0.8139303837016783
-2.97,5.53,0.8108741226129024
-2.96,5.53,0.8125685378590869
-2.95,5.53,0.8142629531013311
-2.95,5.52,0.8111967256942378
-2.94,5.52,0.8128942984298375
-2.94,5.51,0.8098390332502796
-2.93,5.51,0.8115316226221094
-2.92,5.51,0.8132242119944703
-2.92,5.5,0.8101614041175218
-2.91,5.5,0.8118623727572347
-2.9,5.5,0.8135633414009935
-2.9,5.49,0.8105035765517943
-2.89,5.49,0.812204545190149
-2.88,5.49,0.8139055138285036
-2.88,5.48,0.8108457489797203
-2.87,5.48,0.8125530452106262
-2.86,5.48,0.814262962530201
-2.86,5.47,0.8111981067039112
-2.85,5.47,0.8129080240398798
-2.85,5.46,0.8098619610059475
-2.84,5.46,0.8115698602939634
-2.83,5.46,0.8132777595763995
-2.83,5.45,0.8102249910366525
-2.82,5.45,0.8119328903273828
-2.81,5.45,0.8136430743368414
-2.81,5.44,0.8105858380478129
-2.8,5.44,0.8123025075268278
-2.79,5.44,0.8140191770061243
-2.79,5.43,0.8109619407186758
-2.78,5.43,0.812675303759994
-2.78,5.42,0.8096206763397868
-2.77,5.42,0.8113399081493872
-2.76,5.42,0.8130591399525425
-2.76,5.41,0.8100045125365134
-2.75,5.41,0.8116949759691414
-2.74,5.41,0.8134079511669021
-2.74,5.4,0.8103532374515581
-2.73,5.4,0.8120662126540279
-2.72,5.4,0.8137791878525138
-2.72,5.39,0.8107423553402637
-2.71,5.39,0.8124737589119922
-2.7,5.39,0.8142051624852764
-2.7,5.38,0.8111364384076418
-2.69,5.38,0.8128678420028872
-2.69,5.37,0.8097888946910243
-2.68,5.37,0.8115209230224785
-2.67,5.37,0.8132529513490855
-2.67,5.36,0.8101815008479342
-2.66,5.36,0.8119135291786971
-2.65,5.36,0.813701848227765
-2.65,5.35,0.8106222286119462
-2.64,5.35,0.8123671402742468
-2.63,5.35,0.8141120519365478
-2.63,5.34,0.811032432327788
-2.62,5.34,0.8127773439825228
-2.62,5.33,0.8097033164557088
-2.61,5.33,0.8114599914831895
-2.6,5.33,0.813216666514495
-2.6,5.32,0.8101311059828668
-2.59,5.32,0.8119028533291999
-2.58,5.32,0.8136541241961277
-2.58,5.31,0.810600872107123
-2.57,5.31,0.8123521429751309
-2.56,5.31,0.8140847003698617
-2.56,5.3,0.8110125057526734
-2.55,5.3,0.8127863477690664
-2.55,5.29,0.8097141531792575
-2.54,5.29,0.8114879951805893
-2.53,5.29,0.8132618371819764
-2.53,5.28,0.8101896425841469
-2.52,5.28,0.8119682360889267
-2.51,5.28,0.8137420418856267
-2.51,5.27,0.8106685412822852
-2.5,5.27,0.8124423471028239
-2.49,5.27,0.8142126629127492
-2.49,5.26,0.8111575933065029
-2.48,5.26,0.8129283643512806
-2.48,5.25,0.8098732947658793
-2.47,5.25,0.8116440657894337
-2.46,5.25,0.8134359657328825
-2.46,5.24,0.8103854157709534
-2.45,5.24,0.812154550180562
-2.44,5.24,0.8139236845901711
-2.44,5.23,0.8108731346329787
-2.43,5.23,0.8126371508423822
-2.42,5.23,0.8144094847812369
-2.42,5.22,0.8113613618366132
-2.41,5.22,0.8131336957800532
-2.41,5.21,0.8100855728480897
-2.4,5.21,0.8118690921232348
-2.39,5.21,0.8136445759403863
-2.39,5.2,0.8105990674638013
-2.38,5.2,0.8123745512762626
-2.37,5.2,0.8141500350882147
-2.37,5.19,0.8110935356577902
-2.36,5.19,0.8128841144094489
-2.36,5.18,0.8098273430032277
-2.35,5.18,0.8116179217627981
-2.34,5.18,0.8134085005099521
-2.34,5.17,0.8103555719688117
-2.33,5.17,0.8121477793820409
-2.32,5.17,0.813939986795129
-2.32,5.16,0.8108872281358122
-2.31,5.16,0.8126794355490634
-2.31,5.15,0.8096323862587098
-2.3,5.15,0.8114257518864336
-2.29,5.15,0.8132191175160621
-2.29,5.14,0.8101700840698716
-2.28,5.14,0.8119634496916727
-2.27,5.14,0.8137568153226176
-2.27,5.13,0.8107113135501418
-2.26,5.13,0.8125102257141718
-2.25,5.13,0.8143091378772336
-2.25,5.12,0.8112570530134628
-2.24,5.12,0.8130588671503315
-2.24,5.11,0.8100174765138849
-2.23,5.11,0.8118146082585959
-2.22,5.11,0.8136117400054769
-2.22,5.1,0.8105695439660243
-2.21,5.1,0.8123730422651873
-2.2,5.1,0.8141765405642539
-2.2,5.09,0.811132574951263
-2.19,5.09,0.8129360732567075
-2.19,5.08,0.8098921076024954
-2.18,5.08,0.8116971308587405
-2.17,5.08,0.8135020968663261
-2.17,5.07,0.8104626411167632
-2.16,5.07,0.8122676071167705
-2.15,5.07,0.8140725731179306
-2.15,5.06,0.8110409907865592
-2.14,5.06,0.8128487721704781
-2.14,5.05,0.8098132932586775
-2.13,5.05,0.811621074652727
-2.12,5.05,0.8134288560390477
-2.12,5.04,0.8104005971887183
-2.11,5.04,0.8122446825498496
-2.1,5.04,0.8140887679109811
-2.1,5.03,0.8110259061770616
-2.09,5.03,0.8128699915075988
-2.09,5.02,0.8097757644803676
-2.08,5.02,0.81162537926872
-2.07,5.02,0.8134749940618751
-2.07,5.01,0.8104095699564922
-2.06,5.01,0.8122591847527666
-2.05,5.01,0.8141539546440194
-2.05,5.0,0.8110826597196354
-2.04,5.0,0.8129426974204272
-2.04,4.99,0.809871402496035
-2.03,4.99,0.8117314401968283
-2.02,4.99,0.8135914779194349
-2.02,4.98,0.8104896967549149
-2.01,4.98,0.812344560198597
-2.0,4.98,0.8141994236560581
-2.0,4.97,0.8111385509867406
-1.99,4.97,0.8130196878302385
-1.99,4.96,0.8099762422088579
-1.98,4.96,0.8118281193435879
-1.97,4.96,0.8136799964772155
-1.97,4.95,0.8106102183889005
-1.96,4.95,0.812464989007752
-1.95,4.95,0.8143197596266032
-1.95,4.94,0.8112707138607467
-1.94,4.94,0.813125484477358
-1.94,4.93,0.8100764387151032
-1.93,4.93,0.8119135362072578
-1.92,4.93,0.8137686917398935
-1.92,4.92,0.8107049805831716
-1.91,4.92,0.8125601361110444
-1.9,4.92,0.8144152916374939
-1.9,4.91,0.811363800893742
-1.89,4.91,0.8132231085189877
-1.89,4.9,0.8101647238214789
-1.88,4.9,0.8120240314519436
-1.87,4.9,0.8138833390846216
-1.87,4.89,0.8108425408158211
-1.86,4.89,0.8126806836214426
-1.86,4.88,0.8096380643543459
-1.85,4.88,0.8114762071533148
-1.84,4.88,0.8133143499717082
-1.84,4.87,0.8102177759642957
-1.83,4.87,0.81205908510707
-1.82,4.87,0.8139003942288708
-1.82,4.86,0.810843147230585
-1.81,4.86,0.8126844563467129
-1.81,4.85,0.8096028356670365
-1.8,4.85,0.8114413932029193
-1.79,4.85,0.8132799507203645
-1.79,4.84,0.8101945193336293
-1.78,4.84,0.8120330768078106
-1.77,4.84,0.813871634310443
-1.77,4.83,0.8108238852796456
-1.76,4.83,0.8126837982065495
-1.76,4.82,0.8095798961974672
-1.75,4.82,0.811439809108738
-1.74,4.82,0.8133697851807706
-1.74,4.81,0.8103080740861357
-1.73,4.81,0.8121607353064919
-1.72,4.81,0.8140133965371582
-1.72,4.8,0.8109797528511723
-1.71,4.8,0.812846826312504
-1.71,4.79,0.8097843709648966
-1.7,4.79,0.8116514445274546
-1.69,4.79,0.8135185181278508
-1.69,4.78,0.8104560630158155
-1.68,4.78,0.8123143440739977
-1.67,4.78,0.8141947603680808
-1.67,4.77,0.8111537114087408
-1.66,4.77,0.8130341277043345
-1.66,4.76,0.8099930786779905
-1.65,4.76,0.8118507521639549
-1.64,4.76,0.8137331496391852
-1.64,4.75,0.8107170514945476
-1.63,4.75,0.812599448971452
-1.63,4.74,0.8095833508255911
-1.62,4.74,0.8114657483019065
-1.61,4.74,0.8133353967310306
-1.61,4.73,0.81030286284355
-1.6,4.73,0.8122075425742066
-1.59,4.73,0.8141122223638559
-1.59,4.72,0.8111046234492536
-1.58,4.72,0.8130030180072645
-1.58,4.71,0.809969423991959
-1.57,4.71,0.8118678185506188
-1.56,4.71,0.8137662131093754
-1.56,4.7,0.8106206331487611
-1.55,4.7,0.812481836470042
-1.54,4.7,0.8143430398686807
-1.54,4.69,0.8113139946997981
-1.53,4.69,0.8131751983691438
-1.53,4.68,0.8102689099926497
-1.52,4.68,0.812104860252604
-1.51,4.68,0.8139408105013687
-1.51,4.67,0.8109646214714633
-1.5,4.67,0.8128005717490382
-1.5,4.66,0.8097609962569174
-1.49,4.66,0.8115820564521224
-1.48,4.66,0.813403116869092
-1.48,4.65,0.8104234658416091
-1.47,4.65,0.8122445261530371
-1.46,4.65,0.8142654291559108
-1.46,4.64,0.8112540521026712
-1.45,4.64,0.8131156077045345
-1.45,4.63,0.8101042307167287
-1.44,4.63,0.8119657863055783
-1.43,4.63,0.8137650754071994
-1.43,4.62,0.8107220687641536
-1.42,4.62,0.8125858325704333
-1.41,4.62,0.8144495964467093
-1.41,4.61,0.8114065897250493
-1.4,4.61,0.8135328776590733
-1.4,4.6,0.8105072205039101
-1.39,4.6,0.8124372530166246
-1.38,4.6,0.8143672855472002
-1.38,4.59,0.8111512843926172
-1.37,4.59,0.8131516696228838
